TEST: valid loss  2.71 | valid ppl    14.97
| end of split   1 /  1 | epoch   1 | time: 12.10s | valid loss  1.60 | valid ppl     4.95 | learning rate 20.0000
| end of split   1 /  1 | epoch   2 | time: 11.87s | valid loss  1.44 | valid ppl     4.20 | learning rate 20.0000
| end of split   1 /  1 | epoch   3 | time: 12.25s | valid loss  1.37 | valid ppl     3.94 | learning rate 20.0000
| end of split   1 /  1 | epoch   4 | time: 11.94s | valid loss  1.37 | valid ppl     3.94 | learning rate 20.0000
| end of split   1 /  1 | epoch   5 | time: 12.44s | valid loss  1.31 | valid ppl     3.71 | learning rate 20.0000
| end of split   1 /  1 | epoch   6 | time: 12.42s | valid loss  1.31 | valid ppl     3.70 | learning rate 20.0000
| end of split   1 /  1 | epoch   7 | time: 12.08s | valid loss  1.35 | valid ppl     3.86 | learning rate 20.0000
| end of split   1 /  1 | epoch   8 | time: 12.41s | valid loss  1.29 | valid ppl     3.61 | learning rate 20.0000
| end of split   1 /  1 | epoch   9 | time: 12.01s | valid loss  1.31 | valid ppl     3.69 | learning rate 20.0000
| end of split   1 /  1 | epoch  10 | time: 12.25s | valid loss  1.28 | valid ppl     3.59 | learning rate 20.0000
| end of split   1 /  1 | epoch  11 | time: 12.53s | valid loss  1.27 | valid ppl     3.57 | learning rate 20.0000
| end of split   1 /  1 | epoch  12 | time: 12.17s | valid loss  1.31 | valid ppl     3.70 | learning rate 20.0000
| end of split   1 /  1 | epoch  13 | time: 12.20s | valid loss  1.28 | valid ppl     3.60 | learning rate 20.0000
| end of split   1 /  1 | epoch  14 | time: 12.12s | valid loss  1.30 | valid ppl     3.66 | learning rate 20.0000
| end of split   1 /  1 | epoch  15 | time: 12.14s | valid loss  1.29 | valid ppl     3.62 | learning rate 20.0000
| end of split   1 /  1 | epoch  16 | time: 12.14s | valid loss  1.29 | valid ppl     3.63 | learning rate 20.0000
| end of split   1 /  1 | epoch  17 | time: 12.15s | valid loss  1.29 | valid ppl     3.63 | learning rate 20.0000
| end of split   1 /  1 | epoch  18 | time: 12.25s | valid loss  1.28 | valid ppl     3.59 | learning rate 20.0000
| end of split   1 /  1 | epoch  19 | time: 12.21s | valid loss  1.29 | valid ppl     3.65 | learning rate 20.0000
| end of split   1 /  1 | epoch  20 | time: 12.20s | valid loss  1.30 | valid ppl     3.68 | learning rate 20.0000
| end of split   1 /  1 | epoch  21 | time: 12.24s | valid loss  1.29 | valid ppl     3.65 | learning rate 20.0000
| end of split   1 /  1 | epoch  22 | time: 12.25s | valid loss  1.29 | valid ppl     3.64 | learning rate 20.0000
| end of split   1 /  1 | epoch  23 | time: 12.54s | valid loss  1.24 | valid ppl     3.47 | learning rate 5.0000
| end of split   1 /  1 | epoch  24 | time: 12.27s | valid loss  1.24 | valid ppl     3.47 | learning rate 5.0000
| end of split   1 /  1 | epoch  25 | time: 12.37s | valid loss  1.25 | valid ppl     3.49 | learning rate 5.0000
| end of split   1 /  1 | epoch  26 | time: 12.39s | valid loss  1.26 | valid ppl     3.53 | learning rate 5.0000
| end of split   1 /  1 | epoch  27 | time: 12.38s | valid loss  1.26 | valid ppl     3.54 | learning rate 5.0000
| end of split   1 /  1 | epoch  28 | time: 12.30s | valid loss  1.26 | valid ppl     3.53 | learning rate 5.0000
| end of split   1 /  1 | epoch  29 | time: 12.31s | valid loss  1.27 | valid ppl     3.56 | learning rate 5.0000
| end of split   1 /  1 | epoch  30 | time: 12.30s | valid loss  1.28 | valid ppl     3.59 | learning rate 5.0000
TEST: valid loss  1.28 | valid ppl     3.58
