| end of split   1 /  1 | epoch  94 | time:  0.83s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0010
| end of split   1 /  1 | epoch  95 | time:  0.84s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0010
| end of split   1 /  1 | epoch  96 | time:  0.80s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0010
| end of split   1 /  1 | epoch  97 | time:  0.74s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0010
| end of split   1 /  1 | epoch  98 | time:  0.79s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0002
| end of split   1 /  1 | epoch  99 | time:  0.79s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0002
| end of split   1 /  1 | epoch 100 | time:  0.79s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0002
| end of split   1 /  1 | epoch 101 | time:  0.76s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0002
| end of split   1 /  1 | epoch 102 | time:  0.79s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0002
| end of split   1 /  1 | epoch 103 | time:  0.86s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0002
| end of split   1 /  1 | epoch 104 | time:  0.84s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0002
| end of split   1 /  1 | epoch 105 | time:  0.84s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0002
| end of split   1 /  1 | epoch 106 | time:  0.74s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0002
| end of split   1 /  1 | epoch 107 | time:  0.76s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0002
| end of split   1 /  1 | epoch 108 | time:  0.89s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0002
| end of split   1 /  1 | epoch 109 | time:  0.82s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0001
| end of split   1 /  1 | epoch 110 | time:  0.82s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0001
| end of split   1 /  1 | epoch 111 | time:  0.81s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0001
| end of split   1 /  1 | epoch 112 | time:  0.82s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0001
| end of split   1 /  1 | epoch 113 | time:  0.79s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0001
| end of split   1 /  1 | epoch 114 | time:  0.92s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0001
| end of split   1 /  1 | epoch 115 | time:  0.79s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0001
| end of split   1 /  1 | epoch 116 | time:  0.80s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0001
| end of split   1 /  1 | epoch 117 | time:  0.95s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0001
| end of split   1 /  1 | epoch 118 | time:  0.84s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0001
| end of split   1 /  1 | epoch 119 | time:  1.20s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0001
| end of split   1 /  1 | epoch 120 | time:  0.87s | valid loss  1.77 | valid ppl     5.85 | learning rate 0.0000
TEST: valid loss  1.76 | valid ppl     5.82
