| end of split   5 /  7 | epoch  21 | time:  0.59s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   6 /  7 | epoch  21 | time:  0.61s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   7 /  7 | epoch  21 | time:  0.59s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   1 /  7 | epoch  22 | time:  0.60s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   2 /  7 | epoch  22 | time:  0.58s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   3 /  7 | epoch  22 | time:  0.60s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   4 /  7 | epoch  22 | time:  0.58s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   5 /  7 | epoch  22 | time:  0.59s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   6 /  7 | epoch  22 | time:  0.58s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   7 /  7 | epoch  22 | time:  0.60s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   1 /  7 | epoch  23 | time:  0.59s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   2 /  7 | epoch  23 | time:  0.60s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   3 /  7 | epoch  23 | time:  0.58s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   4 /  7 | epoch  23 | time:  0.58s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
| end of split   5 /  7 | epoch  23 | time:  0.58s | valid loss  6.19 | valid ppl   488.44 | learning rate 0.0000
TEST: valid loss  6.12 | valid ppl   456.40
