| end of split   3 /  3 | epoch  40 | time:  0.85s | valid loss  6.79 | valid ppl   886.04 | learning rate 0.0012
| end of split   1 /  3 | epoch  41 | time:  0.87s | valid loss  6.79 | valid ppl   886.07 | learning rate 0.0012
| end of split   2 /  3 | epoch  41 | time:  0.80s | valid loss  6.79 | valid ppl   886.07 | learning rate 0.0012
| end of split   3 /  3 | epoch  41 | time:  0.81s | valid loss  6.79 | valid ppl   886.10 | learning rate 0.0012
| end of split   1 /  3 | epoch  42 | time:  0.85s | valid loss  6.79 | valid ppl   886.11 | learning rate 0.0012
| end of split   2 /  3 | epoch  42 | time:  0.81s | valid loss  6.79 | valid ppl   886.12 | learning rate 0.0012
| end of split   3 /  3 | epoch  42 | time:  0.80s | valid loss  6.79 | valid ppl   886.14 | learning rate 0.0012
| end of split   1 /  3 | epoch  43 | time:  0.81s | valid loss  6.79 | valid ppl   886.16 | learning rate 0.0012
| end of split   2 /  3 | epoch  43 | time:  0.98s | valid loss  6.79 | valid ppl   886.16 | learning rate 0.0003
| end of split   3 /  3 | epoch  43 | time:  0.83s | valid loss  6.79 | valid ppl   886.17 | learning rate 0.0003
| end of split   1 /  3 | epoch  44 | time:  0.85s | valid loss  6.79 | valid ppl   886.17 | learning rate 0.0003
| end of split   2 /  3 | epoch  44 | time:  0.83s | valid loss  6.79 | valid ppl   886.17 | learning rate 0.0003
| end of split   3 /  3 | epoch  44 | time:  0.80s | valid loss  6.79 | valid ppl   886.17 | learning rate 0.0003
| end of split   1 /  3 | epoch  45 | time:  0.85s | valid loss  6.79 | valid ppl   886.18 | learning rate 0.0003
| end of split   2 /  3 | epoch  45 | time:  0.81s | valid loss  6.79 | valid ppl   886.18 | learning rate 0.0003
| end of split   3 /  3 | epoch  45 | time:  0.81s | valid loss  6.79 | valid ppl   886.18 | learning rate 0.0003
| end of split   1 /  3 | epoch  46 | time:  0.82s | valid loss  6.79 | valid ppl   886.19 | learning rate 0.0003
| end of split   2 /  3 | epoch  46 | time:  0.83s | valid loss  6.79 | valid ppl   886.19 | learning rate 0.0003
| end of split   3 /  3 | epoch  46 | time:  0.84s | valid loss  6.79 | valid ppl   886.19 | learning rate 0.0003
| end of split   1 /  3 | epoch  47 | time:  0.82s | valid loss  6.79 | valid ppl   886.20 | learning rate 0.0001
| end of split   2 /  3 | epoch  47 | time:  0.82s | valid loss  6.79 | valid ppl   886.20 | learning rate 0.0001
| end of split   3 /  3 | epoch  47 | time:  0.81s | valid loss  6.79 | valid ppl   886.20 | learning rate 0.0001
| end of split   1 /  3 | epoch  48 | time:  0.82s | valid loss  6.79 | valid ppl   886.20 | learning rate 0.0001
| end of split   2 /  3 | epoch  48 | time:  0.84s | valid loss  6.79 | valid ppl   886.20 | learning rate 0.0001
| end of split   3 /  3 | epoch  48 | time:  0.82s | valid loss  6.79 | valid ppl   886.20 | learning rate 0.0001
| end of split   1 /  3 | epoch  49 | time:  0.92s | valid loss  6.79 | valid ppl   886.20 | learning rate 0.0001
| end of split   2 /  3 | epoch  49 | time:  0.80s | valid loss  6.79 | valid ppl   886.20 | learning rate 0.0001
| end of split   3 /  3 | epoch  49 | time:  0.82s | valid loss  6.79 | valid ppl   886.20 | learning rate 0.0001
| end of split   1 /  3 | epoch  50 | time:  1.01s | valid loss  6.79 | valid ppl   886.20 | learning rate 0.0001
| end of split   2 /  3 | epoch  50 | time:  0.92s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0001
| end of split   3 /  3 | epoch  50 | time:  0.90s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   1 /  3 | epoch  51 | time:  0.82s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   2 /  3 | epoch  51 | time:  0.80s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   3 /  3 | epoch  51 | time:  0.80s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   1 /  3 | epoch  52 | time:  0.81s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   2 /  3 | epoch  52 | time:  0.81s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   3 /  3 | epoch  52 | time:  0.80s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   1 /  3 | epoch  53 | time:  0.93s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   2 /  3 | epoch  53 | time:  0.83s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   3 /  3 | epoch  53 | time:  0.80s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   1 /  3 | epoch  54 | time:  0.82s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   2 /  3 | epoch  54 | time:  0.81s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   3 /  3 | epoch  54 | time:  0.83s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   1 /  3 | epoch  55 | time:  0.92s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   2 /  3 | epoch  55 | time:  0.84s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   3 /  3 | epoch  55 | time:  0.81s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   1 /  3 | epoch  56 | time:  0.92s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   2 /  3 | epoch  56 | time:  0.83s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   3 /  3 | epoch  56 | time:  0.88s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   1 /  3 | epoch  57 | time:  0.83s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   2 /  3 | epoch  57 | time:  0.81s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   3 /  3 | epoch  57 | time:  0.81s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   1 /  3 | epoch  58 | time:  0.88s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   2 /  3 | epoch  58 | time:  0.88s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   3 /  3 | epoch  58 | time:  0.87s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   1 /  3 | epoch  59 | time:  0.83s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   2 /  3 | epoch  59 | time:  0.81s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   3 /  3 | epoch  59 | time:  0.81s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   1 /  3 | epoch  60 | time:  0.83s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   2 /  3 | epoch  60 | time:  0.81s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   3 /  3 | epoch  60 | time:  0.88s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   1 /  3 | epoch  61 | time:  0.80s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   2 /  3 | epoch  61 | time:  0.88s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   3 /  3 | epoch  61 | time:  0.91s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   1 /  3 | epoch  62 | time:  0.82s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   2 /  3 | epoch  62 | time:  0.84s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   3 /  3 | epoch  62 | time:  0.79s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   1 /  3 | epoch  63 | time:  0.79s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   2 /  3 | epoch  63 | time:  0.79s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   3 /  3 | epoch  63 | time:  0.78s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
| end of split   1 /  3 | epoch  64 | time:  0.84s | valid loss  6.79 | valid ppl   886.21 | learning rate 0.0000
TEST: valid loss  7.04 | valid ppl  1135.81
| end of split   1 /  3 | epoch   1 | time:  1.21s | valid loss  7.32 | valid ppl  1515.46 | learning rate 20.0000
| end of split   2 /  3 | epoch   1 | time:  0.85s | valid loss  8.38 | valid ppl  4367.86 | learning rate 20.0000
| end of split   3 /  3 | epoch   1 | time:  1.12s | valid loss  7.09 | valid ppl  1194.78 | learning rate 20.0000
| end of split   1 /  3 | epoch   2 | time:  0.86s | valid loss  7.60 | valid ppl  2005.25 | learning rate 20.0000
| end of split   2 /  3 | epoch   2 | time:  1.18s | valid loss  6.83 | valid ppl   926.76 | learning rate 20.0000
| end of split   3 /  3 | epoch   2 | time:  0.86s | valid loss  7.01 | valid ppl  1113.14 | learning rate 20.0000
| end of split   1 /  3 | epoch   3 | time:  0.86s | valid loss  7.59 | valid ppl  1981.54 | learning rate 20.0000
| end of split   2 /  3 | epoch   3 | time:  0.88s | valid loss  7.47 | valid ppl  1758.75 | learning rate 20.0000
| end of split   3 /  3 | epoch   3 | time:  1.21s | valid loss  6.82 | valid ppl   916.04 | learning rate 20.0000
