| end of split   2 /  3 | epoch  24 | time:  0.54s | valid loss  1.62 | valid ppl     5.05 | learning rate 0.3125
| end of split   3 /  3 | epoch  24 | time:  0.53s | valid loss  1.62 | valid ppl     5.06 | learning rate 0.3125
| end of split   1 /  3 | epoch  25 | time:  0.52s | valid loss  1.62 | valid ppl     5.05 | learning rate 0.3125
| end of split   2 /  3 | epoch  25 | time:  0.52s | valid loss  1.62 | valid ppl     5.06 | learning rate 0.3125
| end of split   3 /  3 | epoch  25 | time:  0.53s | valid loss  1.62 | valid ppl     5.08 | learning rate 0.3125
| end of split   1 /  3 | epoch  26 | time:  0.53s | valid loss  1.62 | valid ppl     5.07 | learning rate 0.3125
| end of split   2 /  3 | epoch  26 | time:  0.51s | valid loss  1.62 | valid ppl     5.06 | learning rate 0.3125
| end of split   3 /  3 | epoch  26 | time:  0.53s | valid loss  1.62 | valid ppl     5.08 | learning rate 0.3125
| end of split   1 /  3 | epoch  27 | time:  0.52s | valid loss  1.62 | valid ppl     5.07 | learning rate 0.3125
| end of split   2 /  3 | epoch  27 | time:  0.51s | valid loss  1.62 | valid ppl     5.06 | learning rate 0.3125
| end of split   3 /  3 | epoch  27 | time:  0.53s | valid loss  1.62 | valid ppl     5.07 | learning rate 0.3125
| end of split   1 /  3 | epoch  28 | time:  0.54s | valid loss  1.62 | valid ppl     5.08 | learning rate 0.0781
| end of split   2 /  3 | epoch  28 | time:  0.51s | valid loss  1.62 | valid ppl     5.07 | learning rate 0.0781
| end of split   3 /  3 | epoch  28 | time:  0.52s | valid loss  1.62 | valid ppl     5.07 | learning rate 0.0781
| end of split   1 /  3 | epoch  29 | time:  0.53s | valid loss  1.62 | valid ppl     5.06 | learning rate 0.0781
| end of split   2 /  3 | epoch  29 | time:  0.52s | valid loss  1.62 | valid ppl     5.06 | learning rate 0.0781
| end of split   3 /  3 | epoch  29 | time:  0.53s | valid loss  1.62 | valid ppl     5.07 | learning rate 0.0781
| end of split   1 /  3 | epoch  30 | time:  0.52s | valid loss  1.62 | valid ppl     5.06 | learning rate 0.0781
| end of split   2 /  3 | epoch  30 | time:  0.52s | valid loss  1.62 | valid ppl     5.07 | learning rate 0.0781
| end of split   3 /  3 | epoch  30 | time:  0.52s | valid loss  1.62 | valid ppl     5.07 | learning rate 0.0781
| end of split   1 /  3 | epoch  31 | time:  0.56s | valid loss  1.62 | valid ppl     5.07 | learning rate 0.0781
| end of split   2 /  3 | epoch  31 | time:  0.53s | valid loss  1.62 | valid ppl     5.07 | learning rate 0.0781
| end of split   3 /  3 | epoch  31 | time:  0.52s | valid loss  1.62 | valid ppl     5.07 | learning rate 0.0195
| end of split   1 /  3 | epoch  32 | time:  0.55s | valid loss  1.62 | valid ppl     5.07 | learning rate 0.0195
| end of split   2 /  3 | epoch  32 | time:  0.52s | valid loss  1.62 | valid ppl     5.07 | learning rate 0.0195
| end of split   3 /  3 | epoch  32 | time:  0.53s | valid loss  1.62 | valid ppl     5.07 | learning rate 0.0195
| end of split   1 /  3 | epoch  33 | time:  0.58s | valid loss  1.62 | valid ppl     5.07 | learning rate 0.0195
| end of split   2 /  3 | epoch  33 | time:  0.54s | valid loss  1.62 | valid ppl     5.07 | learning rate 0.0195
| end of split   3 /  3 | epoch  33 | time:  0.53s | valid loss  1.62 | valid ppl     5.07 | learning rate 0.0195
| end of split   1 /  3 | epoch  34 | time:  0.55s | valid loss  1.62 | valid ppl     5.07 | learning rate 0.0195
| end of split   2 /  3 | epoch  34 | time:  0.53s | valid loss  1.62 | valid ppl     5.07 | learning rate 0.0195
