| end of split   2 /  4 | epoch  53 | time:  0.86s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   3 /  4 | epoch  53 | time:  0.77s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   4 /  4 | epoch  53 | time:  0.83s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   1 /  4 | epoch  54 | time:  0.77s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   2 /  4 | epoch  54 | time:  0.84s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   3 /  4 | epoch  54 | time:  0.85s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   4 /  4 | epoch  54 | time:  0.82s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   1 /  4 | epoch  55 | time:  0.83s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   2 /  4 | epoch  55 | time:  0.83s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   3 /  4 | epoch  55 | time:  0.86s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   4 /  4 | epoch  55 | time:  0.77s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   1 /  4 | epoch  56 | time:  0.78s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   2 /  4 | epoch  56 | time:  0.84s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   3 /  4 | epoch  56 | time:  0.86s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   4 /  4 | epoch  56 | time:  0.87s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   1 /  4 | epoch  57 | time:  0.86s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   2 /  4 | epoch  57 | time:  0.77s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   3 /  4 | epoch  57 | time:  0.85s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   4 /  4 | epoch  57 | time:  0.93s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   1 /  4 | epoch  58 | time:  0.82s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   2 /  4 | epoch  58 | time:  0.93s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   3 /  4 | epoch  58 | time:  0.79s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   4 /  4 | epoch  58 | time:  0.84s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   1 /  4 | epoch  59 | time:  0.90s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   2 /  4 | epoch  59 | time:  0.84s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   3 /  4 | epoch  59 | time:  0.89s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   4 /  4 | epoch  59 | time:  1.06s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   1 /  4 | epoch  60 | time:  0.98s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   2 /  4 | epoch  60 | time:  0.95s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   3 /  4 | epoch  60 | time:  0.93s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   4 /  4 | epoch  60 | time:  0.91s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
| end of split   1 /  4 | epoch  61 | time:  0.90s | valid loss  2.41 | valid ppl    11.16 | learning rate 0.0000
