TEST: valid loss  4.45 | valid ppl    85.46
TEST: valid loss  3.71 | valid ppl    41.00
| end of split   1 /  1 | epoch 182 | time:  0.53s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 183 | time:  0.53s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 184 | time:  0.53s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 185 | time:  0.53s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 186 | time:  0.53s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 187 | time:  0.53s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 188 | time:  0.53s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 189 | time:  0.59s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 190 | time:  0.55s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 191 | time:  0.53s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 192 | time:  0.53s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 193 | time:  0.53s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 194 | time:  0.53s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 195 | time:  0.53s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 196 | time:  0.53s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 197 | time:  0.53s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 198 | time:  0.53s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 199 | time:  0.52s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
| end of split   1 /  1 | epoch 200 | time:  0.52s | valid loss  2.75 | valid ppl    15.69 | learning rate 0.0000
TEST: valid loss  2.44 | valid ppl    11.50
