EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_F1	TRAIN_ACCURACY	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1	TEST_ACCURACY
78	09:21:35	2	0.0039	0.31632669574850514	0.9661	0.9661	0.9661	0.9661	0.775329053401947	0.8294	0.8294	0.8294	0.8294	0.12126507610082626	0.9588	0.9588	0.9588	0.9588
79	09:21:38	3	0.0039	0.3266244527690774	0.9667	0.9667	0.9667	0.9667	0.7755827307701111	0.8274	0.8274	0.8274	0.8274	0.11990892887115479	0.9588	0.9588	0.9588	0.9588
80	09:21:41	4	0.0039	0.3315138553975655	0.9664	0.9664	0.9664	0.9664	0.775353729724884	0.8274	0.8274	0.8274	0.8274	0.11973614990711212	0.9588	0.9588	0.9588	0.9588
81	09:21:44	1	0.0020	0.3224206459549402	0.9664	0.9664	0.9664	0.9664	0.7751839756965637	0.8254	0.8254	0.8254	0.8254	0.11977308988571167	0.9588	0.9588	0.9588	0.9588
82	09:21:48	2	0.0020	0.3342563220743166	0.9664	0.9664	0.9664	0.9664	0.7743075489997864	0.8274	0.8274	0.8274	0.8274	0.12020205706357956	0.9588	0.9588	0.9588	0.9588
83	09:21:51	3	0.0020	0.3183295386798833	0.9667	0.9667	0.9667	0.9667	0.7743892669677734	0.8274	0.8274	0.8274	0.8274	0.12033815681934357	0.9588	0.9588	0.9588	0.9588
84	09:21:54	4	0.0020	0.3323910932606065	0.9667	0.9667	0.9667	0.9667	0.7740312814712524	0.8274	0.8274	0.8274	0.8274	0.12044580280780792	0.9588	0.9588	0.9588	0.9588
85	09:21:57	1	0.0010	0.3293958937660165	0.9664	0.9664	0.9664	0.9664	0.7737745642662048	0.8274	0.8274	0.8274	0.8274	0.12073363363742828	0.9588	0.9588	0.9588	0.9588
86	09:22:00	2	0.0010	0.32979358160414296	0.9667	0.9667	0.9667	0.9667	0.7736685872077942	0.8274	0.8274	0.8274	0.8274	0.12059646844863892	0.9588	0.9588	0.9588	0.9588
87	09:22:03	3	0.0010	0.3312501112257973	0.9661	0.9661	0.9661	0.9661	0.7736325263977051	0.8274	0.8274	0.8274	0.8274	0.12076249718666077	0.9588	0.9588	0.9588	0.9588
