EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_F1	TRAIN_ACCURACY	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1	TEST_ACCURACY
38	21:38:25	0	0.5000	0.3971256466334123	0.9517	0.9517	0.9517	0.9517	0.7989893555641174	0.7949	0.7949	0.7949	0.7949
39	21:38:30	1	0.5000	0.4010138275822097	0.9719	0.9719	0.9719	0.9719	0.6701549291610718	0.8154	0.8154	0.8154	0.8154
40	21:38:32	2	0.5000	0.4251058096038919	0.9618	0.9618	0.9618	0.9618	0.7002696990966797	0.8051	0.8051	0.8051	0.8051
41	21:38:33	0	0.5000	0.3816074797189634	0.9761	0.9761	0.9761	0.9761	0.6610650420188904	0.841	0.841	0.841	0.841
42	21:38:39	1	0.5000	0.38245389330123203	0.9793	0.9793	0.9793	0.9793	0.6184066534042358	0.8462	0.8462	0.8462	0.8462
43	21:38:40	2	0.5000	0.3912642879189605	0.9767	0.9767	0.9767	0.9767	0.6835436224937439	0.8564	0.8564	0.8564	0.8564
44	21:38:42	0	0.5000	0.35992481952223415	0.9751	0.9751	0.9751	0.9751	0.6723651885986328	0.8462	0.8462	0.8462	0.8462
45	21:38:50	1	0.5000	0.37616582035849916	0.9782	0.9782	0.9782	0.9782	0.6949009299278259	0.8359	0.8359	0.8359	0.8359
46	21:38:52	0	0.5000	0.3569010924574232	0.9767	0.9767	0.9767	0.9767	0.6516367793083191	0.8513	0.8513	0.8513	0.8513
47	21:39:00	0	0.5000	0.3497537836621968	0.965	0.965	0.965	0.965	0.6797239780426025	0.8154	0.8154	0.8154	0.8154
48	21:39:05	1	0.5000	0.3626291829350418	0.9836	0.9836	0.9836	0.9836	0.623162567615509	0.841	0.841	0.841	0.841
49	21:39:07	2	0.5000	0.375275333816018	0.9756	0.9756	0.9756	0.9756	0.6534299850463867	0.8154	0.8154	0.8154	0.8154
50	21:39:08	0	0.5000	0.3474146393296632	0.9788	0.9788	0.9788	0.9788	0.6788937449455261	0.841	0.841	0.841	0.841
51	21:39:14	0	0.5000	0.30075814978895576	0.9798	0.9798	0.9798	0.9798	0.657707929611206	0.841	0.841	0.841	0.841
52	21:39:21	1	0.5000	0.3507531301289081	0.9809	0.9809	0.9809	0.9809	0.6255342960357666	0.8462	0.8462	0.8462	0.8462
53	21:39:22	2	0.5000	0.34940117123101155	0.9846	0.9846	0.9846	0.9846	0.6250823736190796	0.8564	0.8564	0.8564	0.8564
54	21:39:23	3	0.5000	0.36174401504725034	0.9809	0.9809	0.9809	0.9809	0.6451266407966614	0.8513	0.8513	0.8513	0.8513
55	21:39:25	4	0.5000	0.3383711151396167	0.9767	0.9767	0.9767	0.9767	0.6896241903305054	0.8256	0.8256	0.8256	0.8256
56	21:39:29	0	0.2500	0.2972138270532192	0.9899	0.9899	0.9899	0.9899	0.622367799282074	0.8462	0.8462	0.8462	0.8462
57	21:39:34	0	0.2500	0.2618788558809026	0.9894	0.9894	0.9894	0.9894	0.6525210738182068	0.8513	0.8513	0.8513	0.8513
58	21:39:40	1	0.2500	0.2733993494336581	0.9915	0.9915	0.9915	0.9915	0.7603982090950012	0.8154	0.8154	0.8154	0.8154
59	21:39:41	0	0.2500	0.23775188573620762	0.9915	0.9915	0.9915	0.9915	0.7087000608444214	0.8308	0.8308	0.8308	0.8308
60	21:39:46	1	0.2500	0.2445962180857719	0.9867	0.9867	0.9867	0.9867	0.858919620513916	0.8256	0.8256	0.8256	0.8256
61	21:39:48	2	0.2500	0.257393461884163	0.9894	0.9894	0.9894	0.9894	0.6837753057479858	0.8308	0.8308	0.8308	0.8308
62	21:39:49	0	0.2500	0.22683171017575365	0.9889	0.9889	0.9889	0.9889	0.645479679107666	0.8256	0.8256	0.8256	0.8256
63	21:39:55	0	0.2500	0.20917018292032208	0.992	0.992	0.992	0.992	0.7231804132461548	0.8359	0.8359	0.8359	0.8359
64	21:40:00	1	0.2500	0.218790536773581	0.9942	0.9942	0.9942	0.9942	0.6000455617904663	0.8615	0.8615	0.8615	0.8615
